Текущее время и дата: 26-12-2021 21:58:01, Log level: INFO, Идентификатор треда: LogThread-3, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:01, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:58:01, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:03, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:04, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:58:05, Log level: INFO, Идентификатор треда: LogThread-3, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:05, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:07, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:58:07, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:09, Log level: INFO, Идентификатор треда: LogThread-3, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:09, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:10, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:58:11, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:13, Log level: INFO, Идентификатор треда: LogThread-3, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:13, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:58:13, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:15, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:16, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:58:17, Log level: INFO, Идентификатор треда: LogThread-3, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:17, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:19, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:58:19, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:21, Log level: INFO, Идентификатор треда: LogThread-3, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:21, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:22, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:58:23, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:07:47, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:07:47, Log level: DEBUG, Идентификатор треда: LogThread-3, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:07:47, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:07:49, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:07:50, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:07:51, Log level: DEBUG, Идентификатор треда: LogThread-3, Статус лога в данный момент DEBUG
